Latitude,Longitude
55.87835,37.5872
55.981849,37.185225
55.701303,37.831657
55.799835,37.719022
55.471313,36.929544
55.748444,37.610697
55.659117,37.562438
55.736744,37.826694
55.749555,37.318261
55.713493,37.589558
55.640835,37.53273
55.630494,37.74602
55.599626,37.347797
55.575233,37.219416
55.66083,37.610235
55.977166,37.149582
55.619733,37.613829
55.642664,37.335116
55.710528,37.582083
55.640811,37.532709
55.7456,37.7867
55.838584,37.63269
55.716536,37.567835
55.834717,37.45427
55.745714,37.550411
55.9044,37.7494
55.679381,37.564674
55.621054,37.724079
55.797277,37.559402
55.5944,37.5356
55.729267,37.525005
55.820199,37.785416
55.749603,37.631629
55.8672,37.5581
55.791414,37.489825
55.716119,37.821271
55.753806,37.729121
55.679951,37.6903
55.7218,37.6787
55.7285,37.4743
55.746327,37.495674
55.534976,37.522849
55.540755,37.555947
55.614716,37.753708
55.889,37.712
55.874799,37.557846
55.893207,37.663622
55.778027,37.517168
55.731873,37.592015
55.682557,37.563146
55.888851,37.638216
55.746469,37.514062
55.777768,37.460407
55.801334,37.541051
55.780471,37.694274
55.6594,37.5606
55.545,37.5292
55.8994,37.5839
55.943336,37.36021
55.8625,37.422222
55.688532,37.754023
55.658657,37.502089
55.7619,37.8925
55.733212,37.386421
55.688085,37.544457
55.766,37.5378
55.729974,37.62723
55.791171,37.552038
55.701944,37.495
55.834048,37.567742
55.8425,37.375
56.007441,37.201025
55.853889,37.35
55.414,37.122
55.789019,37.706612
55.576113,37.597125
55.862657,37.550465
55.64,37.5025
55.785047,37.678411
55.544513,37.55761
55.73184,37.669163
55.7078,37.78
55.7831,37.7436
55.723145,37.663536
55.726734,37.580995
55.800438,37.583109
55.601396,37.664115
55.607627,37.54509
55.832954,37.393327
55.666198,37.485298
55.950233,37.219877
55.930278,37.540833
55.838133,37.428768
55.771096,37.820596
55.863,37.682
55.578984,37.676487
55.8025,37.805556
55.859846,37.690334
55.718614,37.570338
55.81,37.5792
55.852218,37.646631
55.735278,37.627222
55.73024,37.628828
55.689499,37.665745
55.466174,36.92992
55.82,37.651
55.622584,37.673892
55.749374,37.582984
55.4158,37.3241
55.76227,37.792583
55.738727,37.777326
55.789309,37.57144
55.821667,37.606389
55.176667,37.641389
55.6953,37.4077
55.997313,37.237668
55.503889,37.5725
55.778872,37.579905
55.878428,37.546602
55.602778,37.466667
55.502194,37.517109
55.576064,37.449903
55.7791,37.5571
55.782553,37.263593
55.252976,37.162532
55.62066,37.468218
55.861519,37.567631
55.863889,37.605
55.312558,37.1258
55.791944,37.613056
55.724741,37.649959
55.800388,37.331843
55.40456,37.32145
55.781628,37.711778
55.884722,37.408889
55.882778,37.723889
55.673834,37.442565
55.518889,37.374167
55.596687,37.636311
55.693767,37.850042
55.517717,37.349803
55.983703,37.211101
55.669506,37.624836
55.844,37.642411
55.7011,37.7586
55.848879,37.423114
55.764415,37.571828
55.822243,37.572953
55.711749,37.615718
55.788211,37.380031
55.78225,37.392066
55.803271,37.8289
55.637821,37.651012
55.7922,37.588
55.749778,37.606566
55.0,37.0
55.889862,37.491789
55.7334,37.5434
55.735894,37.40878
55.6769,37.7456
55.745201,37.498061
55.353135,37.371926
55.769084,37.513558
55.607498,37.6558
55.574136,37.62597
55.723848,37.497616
55.869857,37.586385
55.844133,37.350718
55.771208,37.517227
55.574766,37.615943
55.36,37.2725
55.1069,37.465
55.795546,37.489568
55.799912,37.582071
55.718046,37.705894
55.255104,37.334375
55.868889,37.620556
55.548193,37.554862
55.758056,37.821944
55.753341,37.40907
55.625055,37.397431
55.966035,37.198784
55.578056,37.14
55.735,37.61694
55.786793,37.841935
55.605556,37.7425
55.616846,37.384903
55.62587,37.474537
55.866519,37.541108
55.582715,37.705775
55.661623,37.601717
55.641859,39.466442
55.756962,37.236702
55.848698,37.588906
55.770424,37.813118
55.645,37.364167
55.4451,37.3931
55.613071,37.730497
55.60982,37.26687
55.800419,37.560893
55.689397,37.575077
55.658536,37.402664
55.783958,37.569273
55.731768,37.84745
55.753461,37.586385
55.573577,37.667248
55.541269,37.54477
55.739542,37.57645
55.877405,37.541367
55.6961,37.5407
55.817656,37.390981
55.888889,37.509167
